,Difference score
"Anterior area, layer 1",-0.3625252268383852
auditory radiation,-0.3595955209241418
trochlear nerve,-0.35953959051332973
"Orbital area, lateral part, layer 6a",-0.35568343188946555
"Periventricular hypothalamic nucleus, intermediate part",-0.35513860706026795
"Substantia nigra, compact part",-0.35447966249551677
cerebral aqueduct,-0.35394939608695497
"Dorsal auditory area, layer 4",-0.34988325802328346
"Inferior colliculus, central nucleus",-0.34591051866446393
"Primary motor area, Layer 6b",-0.343799194937081
"Agranular insular area, posterior part, layer 1",-0.34296926262127325
"Midbrain reticular nucleus, retrorubral area",-0.34135679590759854
"Retrosplenial area, ventral part, layer 1",-0.33694998370064766
"Posterior auditory area, layer 5",-0.33517078403655853
"Rostrolateral area, layer 2/3",-0.3334056982115259
"Retrosplenial area, dorsal part, layer 5",-0.3226276729630485
Medial habenula,-0.3211422113109609
Anterior tegmental nucleus,-0.3067476089851958
"Superior colliculus, zonal layer",-0.3061774830528584
"Central amygdalar nucleus, lateral part",-0.3032278101527863
"Retrosplenial area, dorsal part, layer 1",-0.30049883403433897
lateral ventricle,-0.29447672537666736
"Basolateral amygdalar nucleus, anterior part",-0.29255879123624934
Bed nuclei of the stria terminalis,-0.2908140679688165
Parafascicular nucleus,-0.2839615542556908
"Anterior cingulate area, ventral part, layer 1",-0.28088608509674023
Pedunculopontine nucleus,-0.2792979868343467
Subcommissural organ,-0.2766195258245438
"Medial mammillary nucleus, lateral part",-0.27105498872242395
Olfactory areas,-0.2701927300870607
"Agranular insular area, posterior part, layer 2/3",-0.26947461781214693
"corpus callosum, posterior forceps",-0.2690934454675207
posterior commissure,-0.26801319821239045
"corpus callosum, anterior forceps",-0.26295105574876454
Cuneiform nucleus,-0.26201446630082315
"Visceral area, layer 1",-0.26065345273851753
Anterior olfactory nucleus,-0.2587141679776875
corticospinal tract,-0.25451595448137676
"Medial mammillary nucleus, dorsal part",-0.25395930476927164
Striatum,-0.25203892846671194
Ventral posteromedial nucleus of the thalamus,-0.2441778359898321
"Secondary motor area, layer 6a",-0.24326612827997512
Ectorhinal area/Layer 5,-0.24319075821026806
medial lemniscus,-0.24211738919734505
"Substantia nigra, reticular part",-0.24048243538804334
"Superior colliculus, superficial gray layer",-0.2379116694308533
"Primary somatosensory area, barrel field, layer 6a",-0.23585053065786515
Subthalamic nucleus,-0.23296681425919075
Anterodorsal nucleus,-0.23070678497933933
"Primary auditory area, layer 4",-0.22970879883849182
"Primary somatosensory area, trunk, layer 6a",-0.22808569696921374
"Anterior cingulate area, ventral part, 6a",-0.22484260139172213
"Perirhinal area, layer 1",-0.2187125229130245
Subgeniculate nucleus,-0.21497455328875031
"Perirhinal area, layer 6b",-0.2120763288287813
habenular commissure,-0.211673434855461
"Primary auditory area, layer 2/3",-0.2079252781259279
Caudoputamen,-0.20763139205456074
Claustrum,-0.19951126480798065
Interanteromedial nucleus of the thalamus,-0.19894811235586154
"Perirhinal area, layer 2/3",-0.19790252770080177
"Interpeduncular nucleus, dorsolateral",-0.195789724482228
Ethmoid nucleus of the thalamus,-0.19565454533303306
"Primary somatosensory area, barrel field, layer 5",-0.19241401535268401
Suprageniculate nucleus,-0.19205429833833226
medial longitudinal fascicle,-0.18953542092961959
