Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
510;Primary somatosensory area, lower limb, layer 6b;75050;75050.364929;pixels;7;985;985;pixels;0.013125;;;;;;;;;;;;;;
345;Primary somatosensory area, mouth;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
878;Primary somatosensory area, mouth, layer 1;1012887;1012886.981537;pixels;17;1943;1943;pixels;0.001918;;;;;;;;;;;;;;
657;Primary somatosensory area, mouth, layer 2/3;1859243;1859242.884094;pixels;56;6313;6313;pixels;0.003395;;;;;;;;;;;;;;
950;Primary somatosensory area, mouth, layer 4;1251572;1251571.631363;pixels;40;4999;4999;pixels;0.003994;;;;;;;;;;;;;;
974;Primary somatosensory area, mouth, layer 5;1652158;1652157.917480;pixels;72;9305;9305;pixels;0.005632;;;;;;;;;;;;;;
1102;Primary somatosensory area, mouth, layer 6a;2469898;2469897.821030;pixels;155;19572;19572;pixels;0.007924;;;;;;;;;;;;;;
2;Primary somatosensory area, mouth, layer 6b;174910;174910.004959;pixels;5;700;700;pixels;0.004002;;;;;;;;;;;;;;
369;Primary somatosensory area, upper limb;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
450;Primary somatosensory area, upper limb, layer 1;707298;707298.390625;pixels;3;332;332;pixels;0.000469;;;;;;;;;;;;;;
854;Primary somatosensory area, upper limb, layer 2/3;1485378;1485378.450363;pixels;36;5916;5916;pixels;0.003983;;;;;;;;;;;;;;
577;Primary somatosensory area, upper limb, layer 4;766271;766270.650482;pixels;49;6776;6776;pixels;0.008843;;;;;;;;;;;;;;
625;Primary somatosensory area, upper limb, layer 5;1138667;1138666.990982;pixels;84;11896;11896;pixels;0.010447;;;;;;;;;;;;;;
945;Primary somatosensory area, upper limb, layer 6a;1332557;1332557.281006;pixels;115;16139;16139;pixels;0.012111;;;;;;;;;;;;;;
1026;Primary somatosensory area, upper limb, layer 6b;104867;104867.479111;pixels;17;1736;1736;pixels;0.016554;;;;;;;;;;;;;;
361;Primary somatosensory area, trunk;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1006;Primary somatosensory area, trunk, layer 1;271375;271374.519974;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
670;Primary somatosensory area, trunk, layer 2/3;563244;563243.705292;pixels;3;247;247;pixels;0.000439;;;;;;;;;;;;;;
1086;Primary somatosensory area, trunk, layer 4;201474;201473.772430;pixels;10;844;844;pixels;0.004189;;;;;;;;;;;;;;
1111;Primary somatosensory area, trunk, layer 5;470629;470629.044510;pixels;52;5619;5619;pixels;0.011939;;;;;;;;;;;;;;
9;Primary somatosensory area, trunk, layer 6a;328140;328140.180054;pixels;42;3784;3784;pixels;0.011532;;;;;;;;;;;;;;
461;Primary somatosensory area, trunk, layer 6b;54559;54558.800674;pixels;6;555;555;pixels;0.010173;;;;;;;;;;;;;;
182305689;Primary somatosensory area, unassigned;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
182305693;Primary somatosensory area, unassigned, layer 1;226309;226309.088272;pixels;1;100;100;pixels;0.000442;;;;;;;;;;;;;;
182305697;Primary somatosensory area, unassigned, layer 2/3;440761;440761.428253;pixels;11;2047;2047;pixels;0.004644;;;;;;;;;;;;;;
182305701;Primary somatosensory area, unassigned, layer 4;236897;236896.985077;pixels;20;2371;2371;pixels;0.010009;;;;;;;;;;;;;;
182305705;Primary somatosensory area, unassigned, layer 5;361004;361003.635651;pixels;22;2814;2814;pixels;0.007795;;;;;;;;;;;;;;
182305709;Primary somatosensory area, unassigned, layer 6a;400995;400994.993454;pixels;48;6297;6297;pixels;0.015703;;;;;;;;;;;;;;
182305713;Primary somatosensory area, unassigned, layer 6b;34923;34923.198380;pixels;2;252;252;pixels;0.007216;;;;;;;;;;;;;;
378;Supplemental somatosensory area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
873;Supplemental somatosensory area, layer 1;1703275;1703274.524857;pixels;48;5972;5972;pixels;0.003506;;;;;;;;;;;;;;
806;Supplemental somatosensory area, layer 2/3;2976319;2976318.934341;pixels;128;14832;14832;pixels;0.004983;;;;;;;;;;;;;;
