Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
461;Primary somatosensory area, trunk, layer 6b;67625;67625.367126;pixels;15;604;604;pixels;0.008932;;;;;;;;;;;;;;
182305689;Primary somatosensory area, unassigned;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
182305693;Primary somatosensory area, unassigned, layer 1;294247;294247.348450;pixels;16;770;770;pixels;0.002617;;;;;;;;;;;;;;
182305697;Primary somatosensory area, unassigned, layer 2/3;571456;571455.677826;pixels;88;3523;3523;pixels;0.006165;;;;;;;;;;;;;;
182305701;Primary somatosensory area, unassigned, layer 4;312469;312469.318680;pixels;34;1212;1212;pixels;0.003879;;;;;;;;;;;;;;
182305705;Primary somatosensory area, unassigned, layer 5;419609;419608.602859;pixels;36;1417;1417;pixels;0.003377;;;;;;;;;;;;;;
182305709;Primary somatosensory area, unassigned, layer 6a;514540;514540.124237;pixels;55;2310;2310;pixels;0.004489;;;;;;;;;;;;;;
182305713;Primary somatosensory area, unassigned, layer 6b;46038;46037.670486;pixels;3;117;117;pixels;0.002541;;;;;;;;;;;;;;
378;Supplemental somatosensory area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
873;Supplemental somatosensory area, layer 1;1834560;1834559.908890;pixels;128;6219;6219;pixels;0.003390;;;;;;;;;;;;;;
806;Supplemental somatosensory area, layer 2/3;3138010;3138010.113220;pixels;510;23199;23199;pixels;0.007393;;;;;;;;;;;;;;
1035;Supplemental somatosensory area, layer 4;1739055;1739054.792175;pixels;251;10842;10842;pixels;0.006234;;;;;;;;;;;;;;
1090;Supplemental somatosensory area, layer 5;3317101;3317101.002106;pixels;347;16951;16951;pixels;0.005110;;;;;;;;;;;;;;
862;Supplemental somatosensory area, layer 6a;3226545;3226544.638123;pixels;650;32926;32926;pixels;0.010205;;;;;;;;;;;;;;
893;Supplemental somatosensory area, layer 6b;314873;314873.265778;pixels;59;3028;3028;pixels;0.009617;;;;;;;;;;;;;;
1057;Gustatory areas;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
36;Gustatory areas, layer 1;237384;237383.992279;pixels;1;27;27;pixels;0.000114;;;;;;;;;;;;;;
180;Gustatory areas, layer 2/3;497477;497477.404144;pixels;14;463;463;pixels;0.000931;;;;;;;;;;;;;;
148;Gustatory areas, layer 4;208378;208377.625275;pixels;9;250;250;pixels;0.001200;;;;;;;;;;;;;;
187;Gustatory areas, layer 5;836150;836150.406021;pixels;21;947;947;pixels;0.001133;;;;;;;;;;;;;;
638;Gustatory areas, layer 6a;667465;667465.411621;pixels;31;1135;1135;pixels;0.001700;;;;;;;;;;;;;;
662;Gustatory areas, layer 6b;61386;61386.376846;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
677;Visceral area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
897;Visceral area, layer 1;499303;499303.224594;pixels;27;1268;1268;pixels;0.002540;;;;;;;;;;;;;;
1106;Visceral area, layer 2/3;812896;812895.859299;pixels;135;6349;6349;pixels;0.007810;;;;;;;;;;;;;;
1010;Visceral area, layer 4;288294;288294.066193;pixels;46;2066;2066;pixels;0.007166;;;;;;;;;;;;;;
1058;Visceral area, layer 5;1161654;1161654.160721;pixels;166;8630;8630;pixels;0.007429;;;;;;;;;;;;;;
857;Visceral area, layer 6a;936370;936369.537125;pixels;243;12990;12990;pixels;0.013873;;;;;;;;;;;;;;
849;Visceral area, layer 6b;90412;90412.172516;pixels;8;402;402;pixels;0.004446;;;;;;;;;;;;;;
247;Auditory areas;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
1011;Dorsal auditory area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
527;Dorsal auditory area, layer 1;232244;232243.766647;pixels;27;1324;1324;pixels;0.005701;;;;;;;;;;;;;;
600;Dorsal auditory area, layer 2/3;380695;380694.919876;pixels;201;10594;10594;pixels;0.027828;;;;;;;;;;;;;;
678;Dorsal auditory area, layer 4;137383;137382.898331;pixels;141;6935;6935;pixels;0.050479;;;;;;;;;;;;;;
252;Dorsal auditory area, layer 5;346630;346629.731491;pixels;158;7737;7737;pixels;0.022321;;;;;;;;;;;;;;
156;Dorsal auditory area, layer 6a;164752;164751.711044;pixels;97;4244;4244;pixels;0.025760;;;;;;;;;;;;;;
243;Dorsal auditory area, layer 6b;22581;22580.510559;pixels;13;696;696;pixels;0.030823;;;;;;;;;;;;;;
480149230;Laterolateral anterior visual area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
480149234;Laterolateral anterior visual area, layer 1;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
