region,diet,infusion2,area,nfos,ntrap,ncoloc,density_fos,density_trap,density_coloc,pc_fos_coloc,pc_trap_coloc
piriform,NR,malt,198856.72222222222,36.629629629629626,16.666666666666668,2.388888888888889,17.53445995261338,8.24934616769317,1.1631266107671812,11.465179739686866,12.381221813489566
piriform,NR,water,191515.42857142858,51.07142857142857,29.19047619047619,4.142857142857143,27.215278973289525,15.229848371828293,2.1723974378421977,10.054496333759403,13.856655897093585
piriform,PR,casein,180680.91666666666,52.520833333333336,27.729166666666668,4.583333333333333,28.638881650828285,15.649814847805773,2.533183116100432,8.985962720529466,16.47238252628928
piriform,PR,malt,182725.52,38.98,16.78,2.58,20.669230298629945,9.056485116525629,1.3371865880691396,6.6939550042143345,13.061190123074137
piriform,PR,water,192964.64179104476,48.04477611940298,16.611940298507463,2.4477611940298507,24.17893701828649,8.58492438158066,1.2606211449246734,6.971821551680525,13.884372483005674
pvhypo,NR,casein,25215.878048780487,12.829268292682928,24.341463414634145,4.585365853658536,49.76681852421126,95.51846802995306,19.073308903132144,36.85869223281308,22.97317443996819
pvhypo,NR,malt,26855.285714285714,8.063492063492063,24.047619047619047,2.8253968253968256,30.023566559316052,85.9543453048627,10.550065361820495,32.17375423932963,14.791954121646729
pvhypo,NR,water,24318.478260869564,10.891304347826088,25.282608695652176,3.4565217391304346,43.67110230013084,100.1592364689284,13.746948611862168,32.13683727888273,16.87891762134184
pvhypo,PR,casein,23588.555555555555,11.018518518518519,16.0,2.814814814814815,47.18030453276151,68.50091302825385,12.339877592852556,25.430540918776213,20.438840994892367
pvhypo,PR,malt,25784.178571428572,9.517857142857142,16.607142857142858,2.6607142857142856,35.75580784602764,62.48740022175362,10.265199344402204,24.891290656024957,17.225823899642545
pvhypo,PR,water,24753.542372881355,12.76271186440678,14.135593220338983,3.1016949152542375,51.42042565091888,58.989138983403805,12.856031439719217,24.58437749424989,24.361744554776305
pvthal,NR,casein,48385.318181818184,53.28787878787879,45.10606060606061,13.136363636363637,110.28798204066503,94.25332868300008,26.66212590786244,24.69545425825482,29.007532487973798
pvthal,NR,malt,44904.096,35.288,30.672,8.224,76.9430937549732,69.50981398550746,18.299654731129138,24.87443589355336,25.235538813670626
pvthal,NR,water,47273.62790697674,50.33720930232558,43.5,12.662790697674419,109.2970857532512,96.1299545496252,27.724201016549106,25.33686933908832,28.563612088433285
pvthal,PR,casein,40643.326315789476,46.473684210526315,32.82105263157895,10.378947368421052,113.53923483606954,80.59287808658891,25.098861092087496,22.137657495661905,32.1001586431267
pvthal,PR,malt,46966.21649484536,38.391752577319586,27.536082474226806,7.783505154639175,79.43390596019954,59.662027897919465,16.243648447034744,18.792434677504644,26.296952970358685
pvthal,PR,water,42445.11650485437,47.43689320388349,30.66990291262136,9.184466019417476,113.34134224687337,71.04130743146116,21.110667623278662,18.75621696416623,28.301968546739218
