region,infusion2,animal,area,nfos,ntrap,ncoloc,density_fos,density_trap,density_coloc,pc_fos_coloc,pc_trap_coloc
caudateput,malt,FT105,,,,,,,,,
caudateput,malt,FT106,,,,,,,,,
caudateput,malt,FT108,1551028.4,199.8,25.5,4.2,13.393840542697356,1.6895090011516678,0.28877908980752853,2.086298722569387,17.07239242468184
caudateput,malt,FT109,1200591.8333333333,80.91666666666667,26.333333333333332,3.1666666666666665,7.587274956652029,2.1815131471153424,0.2809192506075096,4.502213984685788,13.224950871228232
caudateput,malt,FT110,1528215.5,31.5,66.25,2.25,2.08785885284216,4.17320151474488,0.15403937679115492,6.40302679776364,5.160154982148653
caudateput,malt,FT111,1298341.3333333333,208.0,28.5,4.75,15.74116966346601,2.1476804867292087,0.34589138402146197,2.069353690204398,16.369444965522298
caudateput,malt,FT112,,,,,,,,,
caudateput,malt,FT114,1280486.0909090908,96.45454545454545,17.454545454545453,2.3636363636363638,7.842644262534364,1.3946325897300522,0.1825869814187466,2.6601699495434934,12.435764992583175
caudateput,malt,FT116,,,,,,,,,
caudateput,malt,FT118,,,,,,,,,
caudateput,malt,FT119,1352052.3333333333,100.25,26.416666666666668,2.9166666666666665,7.088989916884017,1.941208578909773,0.19071185537646076,2.501172426426271,9.574829249326678
caudateput,malt,FT120,,,,,,,,,
caudateput,malt,FT126,,,,,,,,,
caudateput,malt,FT127,,,,,,,,,
caudateput,malt,FT128,,,,,,,,,
caudateput,malt,FT131,,,,,,,,,
caudateput,malt,FT133,,,,,,,,,
caudateput,malt,FT134,,,,,,,,,
caudateput,malt,FT136,,,,,,,,,
caudateput,malt,FT137,,,,,,,,,
caudateput,malt,FT138,,,,,,,,,
caudateput,malt,FT139,,,,,,,,,
caudateput,malt,FT140,1352004.5,109.25,19.666666666666668,3.0,8.910935365211508,1.4960804108525314,0.23894677797594047,2.617520937138795,14.921400724032303
caudateput,malt,FT141,,,,,,,,,
caudateput,malt,FT144,1144071.6666666667,27.166666666666668,22.666666666666668,1.6666666666666667,2.3613356607250258,2.0466945867757214,0.15622949862810157,8.05469552222355,7.859126984126983
caudateput,malt,FT145,,,,,,,,,
caudateput,malt,FT147,1298851.3333333333,31.666666666666668,25.0,1.0833333333333333,2.5468695438056117,1.9585828661038762,0.11792485958845512,4.153161199729827,5.772297018427049
caudateput,malt,FT148,,,,,,,,,
caudateput,malt,FT149,1169764.6,30.6,33.3,4.6,2.5821287710967384,2.902236715128177,0.40481402637871894,16.240673275486095,14.319878660374474
caudateput,malt,FT150,,,,,,,,,
caudateput,malt,FT151,,,,,,,,,
caudateput,malt,FT153,,,,,,,,,
caudateput,malt,FT154,,,,,,,,,
caudateput,malt,FT155,,,,,,,,,
caudateput,malt,FT157,,,,,,,,,
caudateput,malt,FT161,1237584.0714285714,26.178571428571427,11.535714285714286,0.7142857142857143,2.365786952618678,0.9538587811618973,0.05083538200179103,2.826937925622136,5.627745270602413
caudateput,malt,FT162,1181996.0,32.42307692307692,28.153846153846153,1.0769230769230769,2.658456044790434,2.3458278192446462,0.0933054224821826,1.386022976713553,2.757164562790587
caudateput,malt,FT163,1219789.0,6.583333333333333,53.75,2.25,0.5231957596391505,4.379997225388628,0.17271083393560824,33.33333333333333,3.633499584506618
caudateput,malt,FT164,1193713.3333333333,10.25,36.666666666666664,2.3333333333333335,0.9287948879914345,3.0550922224424824,0.20423949606308597,24.707748638908058,5.318637658295035
caudateput,malt,FT166,1196692.1666666667,22.416666666666668,15.833333333333334,1.5,1.9495082917320028,1.33123950702898,0.13264134239804923,3.5718635395359537,6.083683473389356
caudateput,malt,FT167,,,,,,,,,
caudateput,malt,FT168,1245465.5,20.25,11.583333333333334,2.0,1.7564398230099554,0.9621472956283311,0.16489219426760404,8.344178538144055,12.20955976390759
caudateput,water,FT102,,,,,,,,,
